full_address,lat,lon
"450 Beach 69 Street, 11692",40.594195,-73.7979809
"73-16 Beach Channel Drive, 11692",40.5909734,-73.8020897
"120 Beach 62 Street, 63, 11692",40.58943800000001,-73.79086199999999
"115 Beach 61 Street, 79, 11692",40.589333,-73.79051299999999
"69-09 Burchell Avenue, 11692",40.5959973,-73.7988269
"N/A Beach 44 Street, 11691",40.5958107,-73.775735
"5-04 Beach 44Th Street, 11691",40.5984431,-73.7756749
"69-05 Burchell Avenue, 11692",40.5959507,-73.7995629
"69-01 Burchell Avenue, 11692",40.5960091,-73.7987163
"525 Beach 69Th Street, 11692",40.5956261,-73.7987526
"318 Beach 73Rd Street, 11692",40.59151900000001,-73.801093
"71-04 Amstel Blvd, 11692",40.59285759999999,-73.8001881
"N/A Beach 67 Street, 11692",40.5933365,-73.7962644
"N/A Hessler Avenue, 11692",40.5940459,-73.7999275
"N/A Amstel Boulevard, 11692",40.5924851,-73.8022935
"N/A Burchell Avenue, 11692",40.5960455,-73.8010065
"357 Beach 70 Street, 11692",40.59249430000001,-73.7991722
"338 Beach 54 Street, 11692",40.5936617,-73.7841543
"N/A Beach 53Rd Street, 11691",40.59518,-73.7836151
"53-06 Rockaway Beach Blvd, 11691",40.59275359999999,-73.78395069999999
"53-04 Rockaway Beach Blvd, 11691",40.592863,-73.783709
"3-07 Beach 74 Street, 11692",40.5910766,-73.8026067
"14-14 30 Road, 11102",40.769552,-73.93025
"14-14 31 Drive, 11106",40.7667225,-73.9324689
"74-24 Almeda Avenue, 11692",40.59672279999999,-73.80435299999999
"26-28 28 Street, 11102",40.7702501,-73.921679
"N/A Elizabeth Avenue, 11692",40.595432,-73.7997578
"34-41 28 Street, 11106",40.7596484,-73.93028129999999
"14-34 30Th Road, 11102",40.7693588,-73.9295838
"3074 Crescent Street, 11102",40.7667405,-73.92625509999999
"23-01 33Rd Road, 11106",40.7633812,-73.93104009999999
"28-06 34Th Avenue, 11106",40.7604925,-73.9295641
"31-59 30Th Street, 11106",40.7631249,-73.9252929
"32-49 32Nd Street, 11106",40.7602603,-73.92536179999999
"34-04 31St Avenue, 11106",40.7629631,-73.9210446
"30-05 31St Avenue, 11106",40.7647592,-73.92383629999999
"31-14 31St Avenue, 11106",40.763798,-73.923041
"30-52 36Th Street, 11103",40.7638416,-73.9186434
"32-60 46 Street, 11103",40.7552986,-73.91565949999999
"32-79 31 Street, 11106",40.7598859,-73.92672809999999
"30-67 37Th Street, 11103",40.7629046,-73.91777909999999
"25-17 37Th Street, 11103",40.7681759,-73.913381
"32-40 43 Street, 11103",40.75692919999999,-73.9176624
"31-16 48 Street, 11103",40.7579669,-73.9112926
"28-45 47Th St, 11103",40.76160960000001,-73.9087126
"25-12 47Th Street, 11103",40.7651016,-73.90655389999999
"25-32 47Th Street, 11103",40.7645553,-73.90705109999999
"25-57 49 Street, 11103",40.76305,-73.9055126
"25-72 47 Street, 11103",40.763606,-73.9077939
"30-32 50Th Street, 11377",40.7594018,-73.9079414
"3027 50Th St, 11377",40.7592653,-73.9074296
"20-65 47Th Street, 11105",40.771914,-73.898648
"25-72 49 Street, 11103",40.7629264,-73.9061231
"20-34 49Th Street, 11105",40.771863,-73.8971033
"21-49 47Th Street, 11105",40.7705235,-73.900525
"2266 46Th Street, 11105",40.76901760000001,-73.9043951
"21-71 46 Street, 11105",40.7705472,-73.9018688
"4618 21St Ave, 11105",40.771579,-73.899875
"2043 46 Street, 11105",40.77289589999999,-73.899344
"22-12 43 Street, 11105",40.7711839,-73.9043032
"46-17 21 Avenue, 11105",40.7719551,-73.8995722
"20-59 46Th Street, 11105",40.7725782,-73.8993996
"20-20 46 Street, 11105",40.7736229,-73.898877
"43-19 20Th Road, 11105",40.7737059,-73.89990929999999
"43-01 20Th Road, 11105",40.7740038,-73.90044139999999
"22-30 43 Street, 11105",40.77075139999999,-73.90493579999999
"20-13 43 Street, 11105",40.77443340000001,-73.8997049
"20-23 42Nd Street, 11105",40.7747739,-73.9006746
"43-13 20Th Road, 11105",40.77379,-73.90010459999999
"21-17 38Th Street, 11105",40.7746442,-73.9049003
"21-73 38Th Street, 11105",40.7735421,-73.9062323
"20-01 37Th Street, 11105",40.7772329,-73.9030401
"21-44 38 Street, 11105",40.7743954,-73.9058598
"20-13 36Th Street, 11105",40.7774349,-73.90405059999999
"35-17 24Th Avenue, 11103",40.7707963,-73.9128711
"20-19 35 Street, 11105",40.7778135,-73.90494629999999
"36-14 23Rd Ave, 11105",40.7721287,-73.9101135
"21-44 38Th Street, 11105",40.7743954,-73.9058598
"23-83 36Th Street, 11105",40.7707139,-73.9123352
"22-16 29 Street, 11105",40.7765918,-73.9123616
"23-84 33 Street, 11105",40.7719461,-73.9140881
"2010 27Th Street, 11105",40.7812799,-73.909103
"2508 Ditmars Boulevard, 11105",40.778438,-73.91439129999999
"20-14 26 Street, 11105",40.7816711,-73.90995269999999
"26-14 Ditmars Boulevard, 11105",40.777798,-73.91348789999999
"23-27 Crescent Street, 11105",40.776256,-73.9171884
"2319 Crescent Street, 11105",40.7764293,-73.91702099999999
"22-69 21 Street, 11105",40.7788675,-73.918368
"23-17 23Rd Street, 11105",40.7774378,-73.9183372
"18-30 25 Road, 11102",40.774241,-73.925641
"2340 23Rd Street, 11105",40.7772155,-73.9192769
"23-72 21St Street, 11105",40.77739990000001,-73.9209758
"19-21 23Rd Terrace, 11105",40.7776299,-73.92125399999999
"25-29 14Th Place, 11102",40.775198,-73.9270367
"56-15 30 Avenue, 11377",40.759918,-73.9056263
"30-04 14 Street, 11102",40.7707775,-73.9302483
"28-10 56 Place, 11377",40.7610544,-73.90509879999999
"13-16 33Rd Avenue, 11106",40.75530639999999,-73.92837
"33-58 14 Street, 11106",40.76422489999999,-73.93528100000002
"3334 14 Street, 11106",40.7647906,-73.93492979999999
"28-33 Hobart Street, 11377",40.7607314,-73.9056923
"12-16 30 Drive, 11102",40.7693326,-73.9323014
"33-60 14 Street, 11106",40.7641766,-73.9353125
"14-42 33 Avenue, 11106",40.76485419999999,-73.9329626
"1415 33Rd Road, 11106",40.7648372,-73.933927
"14-22 31 Drive, 11106",40.7666133,-73.93228189999999
"14-35 30Th Road, 11102",40.76969649999999,-73.9293115
"14-32 31St Avenue, 11106",40.7676084,-73.931074
"27-19 23Rd Street, 11102",40.77081,-73.9249253
"14-15 30Th Road, 11102",40.7699777,-73.9299315
"30-76 23Rd Street, 11102",40.7675032,-73.9281929
"21-18 28Th Avenue, 11102",40.7706916,-73.92626109999999
"14-23 30Th Road, 11102",40.7698341,-73.929622
"14-11 30 Road, 11102",40.7700068,-73.9300004
"14-47 29 Avenue, 11102",40.770939,-73.92765399999999
"33-04 23Rd Street, 11106",40.76380899999999,-73.93120789999999
"21-22 33Rd Avenue, 11106",40.7769457,-73.9083631
"23-19 33 Avenue, 11106",40.7636318,-73.9300693
"2514 Newtown Ave, 11102",40.7698792,-73.9233589
"23-04 30Th Avenue, 11102",40.7690335,-73.92641809999999
"23-34 31 Road, 11106",40.765215,-73.928252
"25-15 34Th Avenue, 11106",40.7611155,-73.9298419
"31-65 23 Street, 11106",40.7649862,-73.9297593
"27-20 Newtown Avenue, 11102",40.7692405,-73.9225223
"25-09 35 Avenue, 11106",40.7596948,-73.9313279
"33-51 28Th Street, 11106",40.7611076,-73.929144
"27-45 27 Street, 11102",40.7686601,-73.92366249999999
"30-07 34 Avenue, 11106",40.76002810000001,-73.9276581
"33-29 29Th Street, 11106",40.7613068,-73.9279028
"34-31 32 Street, 11106",40.75840729999999,-73.9269118
"32-07 Broadway, 11106",40.7608539,-73.92241349999999
"31-72 30Th Street, 11106",40.7630542,-73.9259474
"30-64 32Nd Street, 11102",40.7650506,-73.9220895
"34-24 34Th Street, 11106",40.7580049,-73.9255237
"31-28 31St Street, 11106",40.763711,-73.9243091
"3156 30Th St, 11106",40.7634392,-73.9256243
"31-08 31St Avenue, 11106",40.7639819,-73.9232675
"32-14 33Rd Street, 11106",40.760916,-73.92436599999999
"32-56 32 Street, 11106",40.7602988,-73.9259653
"32-24 34Th Street, 11106",40.76025629999999,-73.9237144
"30-11 32Nd Street, 11102",40.7660888,-73.9207117
"32-44 35Th Street, 11106",40.7594643,-73.9232655
"30-52 35 Street, 11103",40.764208,-73.91942569999999
"34-18 31St Avenue, 11106",40.7627058,-73.9206074
"33-05 Broadway, 11106",40.7612592,-73.92341189999999
"32-35 34 Street, 11106",40.7598735,-73.92350929999999
"2529 33Rd Street, 11102",40.7689222,-73.9172335
"28-50 36Th Street, 11103",40.7654675,-73.9173003
"28-47 35 Street, 11103",40.7657225,-73.9176689
"34-13 30 Avenue, 11103",40.7656843,-73.9183096
"2841 33Rd Street, 11102",40.7665952,-73.9191555
"25-63 34 Street, 11103",40.7680649,-73.91687499999999
"25-38 35 Street, 11103",40.7686672,-73.9157973
"35-07 28 Avenue, 11103",40.7670351,-73.9164705
"34-20 38 Street, 11101",40.7566485,-73.92227439999999
"34-10 38 Street, 11101",40.7567985,-73.92208509999999
"34-08 38 Street, 11101",40.7568647,-73.9220436
"34-25 34 Street, 11106",40.7577793,-73.9252126
"32-49 35 Street, 11106",40.7591981,-73.9229946
"31-22 36Th Street, 11106",40.7619546,-73.92019499999999
"34-32 38Th Street, 11101",40.7563506,-73.9225009
"32-60 37 Street, 11103",40.7583564,-73.9219517
"30-57 35Th Street, 11103",40.7638708,-73.9191821
"30-19 35Th Street, 11103",40.7647033,-73.9184532
"3039 35Th Street, 11103",40.7642386,-73.9188286
"30-59 36Th Street, 11103",40.7634705,-73.918343
"30-58 37Th St, 11103",40.76332110000001,-73.9179908
"30-58 37 Street, 11103",40.76332110000001,-73.9179908
"30-65 36 Street, 11103",40.7632362,-73.91847039999999
"3602 30 Avenue, 11103",40.76477,-73.9173917
"32-41 37Th Street, 11103",40.7586011,-73.9212974
"25-57 37 Street, 11103",40.76726379999999,-73.91419929999999
"36-03 28 Avenue, 11103",40.76668799999999,-73.91576719999999
"32-15 37 Street, 11103",40.7592201,-73.9207407
"32-67 37Th Street, 11103",40.7579314,-73.9217096
"31-42 38 Street, 11103",40.7607328,-73.91893189999999
"31-17 38Th Street, 11103",40.7611763,-73.9181217
"28-32 41St Street, 11103",40.76437809999999,-73.9137715
"25-89 Steinway Street, 11103",40.7657251,-73.9132383
"25-34 42 Street, 11103",40.7664323,-73.91098819999999
"42-20 34 Avenue, 11101",40.7555124,-73.9187104
"24-18 42 Street, 11103",40.7681507,-73.9095765
"28-18 38Th Street, 11103",40.76547619999999,-73.9150624
"25-81 41St Street, 11103",40.7655448,-73.91228989999999
"42-03 25Th Avenue, 11103",40.7672995,-73.909792
"2441 43Rd St, 11103",40.7672763,-73.9086835
"24-21 42 Street, 11103",40.7678207,-73.9093212
"24-57 43 Street, 11103",40.7669207,-73.9088618
"24-59 43 Street, 11103",40.7669647,-73.9089997
"32-38 43Rd Street, 11103",40.75697359999999,-73.9176293
"31-04 43 Street, 11103",40.7601027,-73.9150146
"42-11 Broadway, 11103",40.7581744,-73.916861
"31-30 43 Street, 11103",40.7594656,-73.9155664
"31-50 43 Street, 11103",40.7590515,-73.9159039
"31-11 43Rd Street, 11103",40.7597696,-73.9147361
"31-73 43Rd Street, 11103",40.75829,-73.9160139
"32-72 43 Street, 11103",40.75620079999999,-73.918266
"30-86 43 Street, 11103",40.7608033,-73.9144147
"42-14 28Th Avenue, 11103",40.7643342,-73.9117211
"28-21 43Rd Street, 11103",40.76368129999999,-73.9116062
"28-30 43 Street, 11103",40.7636682,-73.9121229
"28-41 44Th Street, 11103",40.7628168,-73.9110437
"42-02 25 Avenue, 11103",40.7669116,-73.9101824
"28-45 44Th Street, 11103",40.7627561,-73.9112675
"28-50 45Th Street, 11103",40.7624571,-73.91089
"32-48 46 Street, 11103",40.75560189999999,-73.9154184
"25-56 43Rd Street, 11103",40.7656031,-73.9106082
"32-73 45Th Street, 11103",40.7552177,-73.9162979
"32-16 45 Street, 11103",40.7567411,-73.91559450000001
"42-14 25 Avenue, 11103",40.7668013,-73.90975929999999
"25-22 44Th Street, 11103",40.7659471,-73.9091625
"45-28 Newtown Road, 11103",40.757804,-73.913532
"45-05 Newtown Road, 11103",40.75838110000001,-73.91347329999999
"30-37 44 Street, 11103",40.76132,-73.912328
"25-41 45Th Street, 11103",40.7649571,-73.9083004
"25-48 46Th Street, 11103",40.7646074,-73.9080925
"28-14 46 Street, 11103",40.7629153,-73.9094137
"25-53 45Th Street, 11103",40.7646745,-73.90859499999999
"28-30 46Th Street, 11103",40.7625585,-73.90968079999999
"32-13 46Th Street, 11103",40.7562165,-73.9142584
"3237 47Th Street, 11103",40.7552828,-73.9140173
"32-59 47 Street, 11103",40.75467520000001,-73.91451649999999
"31-24 48 Street, 11103",40.7577784,-73.9114611
"30-90 47 Street, 11103",40.759194,-73.9113188
"30-17 47 Street, 11103",40.7593661,-73.9106783
"25-21 46Th Street, 11103",40.7650697,-73.90722629999999
"30-38 48Th Street, 11103",40.7600545,-73.9095317
"25-83 47 Street, 11103",40.7631691,-73.9076103
"30-42 50Th Street, 11377",40.7591903,-73.9081155
"28-35 48Th Street, 11103",40.7614864,-73.90786200000001
"28-39 48Th St, 11103",40.7614045,-73.9079398
"28-28 49Th Street, 11103",40.7614828,-73.90728709999999
"25-78 48 Street, 11103",40.7631516,-73.9070921
"2545 48 St, 11103",40.7637226,-73.9060142
"28-51 50Th Street, 11377",40.760621,-73.9063127
"23-75 48Th Street, 11103",40.7657515,-73.90444409999999
"2545 48Th St, 11103",40.7637226,-73.9060142
"49-14 20 Avenue, 11370",40.771996,-73.8958056
"22-35 47 Street, 11105",40.7688727,-73.902536
"49-14 20Th Avenue, 11370",40.771996,-73.8958056
"22-30 49Th Street, 11105",40.7682853,-73.9013373
"22-35 47Th Street, 11105",40.7688727,-73.902536
"2047 48Th Street, 11105",40.7717554,-73.89770039999999
"21-64 49 Street, 11105",40.7694214,-73.89997009999999
"21-33 47Th Street, 11105",40.77080309999999,-73.9002903
"47-08 Ditmars Boulevard, 11105",40.7694839,-73.9016743
"48-19 Ditmars Boulevard, 11105",40.7690561,-73.90026999999999
"22-58 47Th Street, 11105",40.7687041,-73.9034575
"20-12 49Th Street, 11105",40.7722702,-73.8965558
"22-72 47 Street, 11105",40.7684568,-73.9037507
"21-57 46 Street, 11105",40.7708099,-73.90154729999999
"21-47 45 Street, 11105",40.7715368,-73.9019734
"23-22 Sound Street, 11105",40.7694029,-73.90716239999999
"20-48 46Th Street, 11105",40.7730234,-73.8995131
"42-06 21St Avenue, 11105",40.7734092,-73.90232809999999
"22-21 42 Street, 11105",40.7711775,-73.9051273
"22-26 43 Street, 11105",40.7708286,-73.904832
"21-84 46 Street, 11105",40.77056839999999,-73.9025578
"21-58 47Th Street, 11105",40.77062919999999,-73.9011649
"42-16 21 Avenue, 11105",40.7732023,-73.90210619999999
"2109 42Nd St, 11105",40.773303,-73.9025711
"42-04 21St Avenue, 11105",40.7734385,-73.9023807
"21-46 42 Street, 11105",40.7728335,-73.90374580000001
"40-09 23Rd Avenue, 11105",40.7709789,-73.90773039999999
"21-46 42Nd Street, 11105",40.7728335,-73.90374580000001
"42-01 21St Avenue, 11105",40.7737329,-73.90207199999999
"41-09 21St Avenue, 11105",40.7740816,-73.9025984
"41-15 21 Avenue, 11105",40.7739475,-73.90255350000001
"20-40 41 Street, 11105",40.7752023,-73.902144
"41-23 20 Avenue, 11105",40.7757112,-73.90021519999999
"23-13 38 Street, 11105",40.771133,-73.9092179
"23-47 37Th Street, 11105",40.7709793,-73.9107619
"23-16 38Th Street, 11105",40.7713462,-73.90965589999999
"21-25 37 Street, 11105",40.7749841,-73.905796
"21-71 37 Street, 11105",40.7740603,-73.9069165
"21-55 38Th St, 11105",40.7738388,-73.90570989999999
"24-18 36 Street, 11103",40.770173,-73.91344529999999
"23-72 37Th Street, 11105",40.7706871,-73.9116287
"2360 36Th Street, 11105",40.771436,-73.9121272
"2383 35 Street, 11105",40.771241,-73.9130228
"21-34 Steinway Street, 11105",40.7740745,-73.9049725
"2170 38Th Street, 11105",40.7738749,-73.9064992
"23-55 35 Street, 11105",40.7718019,-73.91235259999999
"22-17 36 Street, 11105",40.7738345,-73.90855189999999
"23-59 35 Street, 11105",40.7717234,-73.9124302
"22-34 37 Street, 11105",40.7732912,-73.9085624
"35-17 23Rd Avenue, 11105",40.772869,-73.910318
"22-59 35Th Street, 11105",40.7734684,-73.9102645
"22-23 36 Street, 11105",40.7736999,-73.9086896
"35-06 Ditmars Boulevard, 11105",40.7745688,-73.9088565
"21-50 37 Street, 11105",40.7747521,-73.9067376
"21-33 36Th Street, 11105",40.77525600000001,-73.906485
"21-44 37 Street, 11105",40.77486409999999,-73.9065768
"21-17 36Th Street, 11105",40.7756508,-73.9062783
"35-03 Ditmars Boulevard, 11105",40.77491120000001,-73.9085289
"20-51 36 Street, 11105",40.776624,-73.90485439999999
"35-19 21St Avenue, 11105",40.7764403,-73.9058649
"20-70 32Nd Street, 11105",40.7780328,-73.90756429999999
"20-34 32 Street, 11105",40.7786858,-73.90676239999999
"35-13 21 Avenue, 11105",40.776563,-73.90604859999999
"20-47 33Rd Street, 11105",40.7778525,-73.9063012
"21-30 33 Street, 11105",40.7766911,-73.90839509999999
"21-49 32 Street, 11105",40.7764978,-73.90924079999999
"21-29 32Nd Street, 11105",40.7769078,-73.9087356
"31-19 23 Avenue, 11105",40.7741216,-73.9121291
"20-54 32 Street, 11105",40.7783275,-73.9071969
"23-72 35 Street, 11105",40.77166709999999,-73.9131439
"23-82 35 Street, 11105",40.7715127,-73.9133528
"23-73 31 Street, 11105",40.7726189,-73.91436200000001
"23-62 33 Street, 11105",40.772395,-73.9135545
"23-22 32Nd Street, 11105",40.7735248,-73.9130071
"29-17 Astoria Boulevard, 11102",40.7705273,-73.9191037
"24-62 32 Street, 11102",40.7706399,-73.9165057
"24-35 33Rd Street, 11102",40.7706214,-73.9150969
"29-09 23Rd Rd, 11105",40.7740695,-73.9144345
"21-51 28 Street, 11105",40.7780068,-73.9112767
"22-63 29Th Street, 11105",40.7753251,-73.9132039
"22-17 28Th Street, 11105",40.77672,-73.91262979999999
"22-15 28 Street, 11105",40.7768323,-73.912702
"21-37 28 Street, 11105",40.7782784,-73.91095279999999
"28-12 21St Ave, 11105",40.7787592,-73.90995269999999
"21-55 28 Street, 11105",40.7779316,-73.9113613
"21-38 29 Street, 11105",40.7780035,-73.91056209999999
"23-80 28 Street, 11105",40.7740285,-73.9167703
"26-12 23 Avenue, 11105",40.7761326,-73.91573989999999
"26-12 23Rd Avenue, 11105",40.7761326,-73.91573989999999
"21-41 28Th Street, 11105",40.7781676,-73.911078
"26-12 24Th Avenue, 11102",40.7740501,-73.91831189999999
"26-10 23 Avenue, 11105",40.7761561,-73.9157863
"23-26 27Th Street, 11105",40.7756112,-73.9160729
